Name                     Team	P	Age	AVG	OBP	SPC	AB	H	2B	3B	HR	R	RBI	HBP	BB	K	SB	CS
Rowdy Tellez*	1b	30	0.259	0.315	0.457	116	30	5	0	6	14	22	1	9	34	0	0
Matt Thaiss*	c	30	0.212	0.382	0.294	85	18	4	0	1	11	8	1	23	21	1	1
Matt Thaiss*	c	30	0.225	0.304	0.282	71	16	2	1	0	5	8	2	6	25	0	0
Chadwick Tromp	c	30	0.143	0.182	0.333	21	3	1	0	1	2	1	0	1	6	0	0
Chadwick Tromp	c	30	0	0.167	0	5	0	0	0	0	0	0	0	1	2	0	0
Chadwick Tromp	c	30	0.188	0.188	0.438	16	3	1	0	1	2	1	0	0	4	0	0
Weston Wilson	lf	30	0.198	0.282	0.369	111	22	4	0	5	15	17	1	12	34	2	3
Harrison Bader	cf	31	0.305	0.361	0.463	177	54	11	1	5	30	16	4	12	55	1	3
Harrison Bader	lf	31	0.258	0.339	0.439	271	70	13	0	12	31	38	7	27	81	10	4
Ryan Fitzgerald*	ss	31	0.196	0.302	0.457	46	9	0	0	4	10	9	0	7	8	1	0
Sam Haggerty#	lf	31	0.253	0.328	0.37	162	41	7	3	2	31	13	2	16	37	12	4
Sam Hilliard*	lf	31	0.196	0.328	0.412	51	10	3	1	2	8	3	0	10	23	2	1
Scott Kingery	2b	31	0.148	0.207	0.185	27	4	1	0	0	3	0	0	2	11	1	1
Vimael Machin*	3b	31	0.091	0.167	0.364	11	1	0	0	1	1	1	0	1	2	0	0
Ryan O'Hearn*	1b	31	0.276	0.35	0.387	163	45	6	0	4	22	20	3	16	46	0	0
Ryan O'Hearn*	1b	31	0.283	0.374	0.463	311	88	15	1	13	45	43	5	42	63	3	1
Pablo Reyes	2b	31	0.194	0.242	0.226	31	6	1	0	0	4	2	0	2	10	1	0
Brett Sullivan*	c	31	0.167	0.333	0.167	6	1	0	0	0	1	2	1	1	3	0	0
Ramon Urias	2b	31	0.223	0.267	0.372	94	21	5	0	3	6	10	0	6	28	1	0
Ramon Urias	3b	31	0.248	0.3	0.388	258	64	12	0	8	27	34	2	21	60	2	0
LaMonte Wade*	1b	31	0.167	0.275	0.271	144	24	8	2	1	12	15	1	21	35	0	0
LaMonte Wade*	rf	31	0.169	0.26	0.215	65	11	0	0	1	7	3	2	6	23	1	0
Donovan Walton*	2b	31	0.125	0.125	0.125	8	1	0	0	0	1	1	0	0	1	0	0
Jorge Alfaro	c	32	0.256	0.256	0.308	39	10	2	0	0	3	3	0	0	14	1	0
Greg Allen#	cf	32	0	0	0	14	0	0	0	0	1	0	0	0	5	0	1
Dairon Blanco	cf	32	0.167	0.167	0.333	6	1	1	0	0	2	1	0	0	2	3	2
J.D. Davis	1b	32	0.111	0.111	0.111	9	1	0	0	0	0	0	0	0	3	0	0
Aramis Garcia	c	32	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0
Connor Joe	rf	32	0.213	0.286	0.279	61	13	4	0	0	2	4	1	6	14	2	2
Connor Joe	1b	32	0	0.1	0	9	0	0	0	0	0	0	0	1	6	0	0
Dylan Moore	2b	32	0.201	0.267	0.374	219	44	5	0	11	35	25	1	20	82	14	5
Dylan Moore	2b	32	0.193	0.263	0.359	192	37	5	0	9	29	19	0	19	76	12	4
Dylan Moore	2b	32	0.259	0.3	0.481	27	7	0	0	2	6	6	1	1	6	2	1
Austin Slater	rf	32	0.236	0.299	0.423	123	29	6	1	5	20	11	0	11	35	1	0
Austin Slater	lf	32	0.12	0.12	0.12	25	3	0	0	0	2	2	0	0	16	0	0
Garrett Stubbs*	c	32	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
Adam Frazier*	2b	33	0.255	0.318	0.336	235	60	10	0	3	22	21	6	17	45	7	5
Adam Frazier*	2b	33	0.283	0.32	0.402	184	52	10	0	4	21	23	2	9	36	1	1
Randal Grichuk	rf	33	0.206	0.267	0.299	97	20	3	0	2	10	5	1	7	22	0	0
Randal Grichuk	dh	33	0.24	0.277	0.457	175	42	15	1	7	25	22	0	10	39	0	1
Enrique Hernandez	3b	33	0.203	0.255	0.366	232	47	8	0	10	30	35	0	18	68	0	0
Omar Narvaez*	c	33	0.286	0.4	0.286	7	2	0	0	0	1	3	0	2	1	0	0
Eddie Rosario*	rf	33	0.125	0.125	0.125	8	1	0	0	0	1	0	0	0	2	0	0
Eddie Rosario*	rf	33	0	0	0	4	0	0	0	0	1	0	0	0	2	0	0
Eddie Rosario*	rf	33	0.25	0.25	0.25	4	1	0	0	0	0	0	0	0	0	0	0
Eugenio Suarez	3b	33	0.189	0.255	0.428	201	38	9	0	13	27	31	1	17	79	3	1
Eugenio Suarez	3b	33	0.248	0.32	0.576	387	96	19	0	36	64	87	15	29	117	1	0
Gio Urshela	3b	33	0.238	0.287	0.326	181	43	14	1	0	10	20	0	13	40	0	1
Tyler Heineman#	c	34	0.289	0.361	0.416	149	43	8	1	3	25	20	6	12	31	2	0
Travis Jankowski*	rf	34	0.244	0.286	0.289	45	11	2	0	0	8	2	0	3	12	2	0
Travis Jankowski*	rf	34	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Travis Jankowski*	rf	34	0.214	0.267	0.214	14	3	0	0	0	1	0	0	1	3	0	0
Travis Jankowski*	rf	34	0.258	0.294	0.323	31	8	2	0	0	6	2	0	2	9	2	0
Chris Taylor	rf	34	0.186	0.256	0.301	113	21	7	0	2	15	12	6	5	42	2	2
Chris Taylor	lf	34	0.2	0.2	0.257	35	7	2	0	0	4	2	0	0	13	0	1
Chris Taylor	rf	34	0.179	0.278	0.321	78	14	5	0	2	11	10	6	5	29	2	1
Austin Wynns	c	34	0.291	0.321	0.544	103	30	8	0	6	13	21	0	5	32	0	0
Austin Wynns	c	34	0.4	0.442	0.7	40	16	3	0	3	6	11	0	3	12	0	0
Austin Wynns	c	34	0.222	0.242	0.444	63	14	5	0	3	7	10	0	2	20	0	0
Mike Yastrzemski*	rf	34	0.231	0.33	0.355	321	74	14	1	8	38	28	1	47	86	6	2
Mike Yastrzemski*	rf	34	0.237	0.339	0.5	156	37	14	0	9	30	18	1	25	22	1	0
Jon Berti	3b	35	0.21	0.262	0.23	100	21	2	0	0	12	2	2	5	22	11	3
Rob Brantly*	c	35	0.429	0.429	0.429	7	3	0	0	0	0	1	0	0	1	0	0
Jason Heyward*	lf	35	0.176	0.223	0.271	85	15	2	0	2	9	12	0	6	20	0	1
